Unnamed: 0,authorMeta/fans,authorMeta/following,authorMeta/verified,authorMeta/video,commentCount,createTimeISO,diggCount,playCount,shareCount,text,videoMeta/duration,sentiment,we_count,them_count,clean_text,has_we,has_them,we_count,them_count,pronoun_type,has_othering,othering_score,matched_patterns,othering_predicted,othering_proba,toxicity,severe_toxicity,identity_attack,insult,threat,emotion,emotion_score
0,13200000,28,True,303,66000,2020-02-25T12:11:06.000Z,19300000,200600000,377700,Ara Woah  #woah  #woahchallenge  #foryou  #fyp  #meme  #이아라  #틱톡  #tiktok,17,"{'label': 'neutral', 'score': 0.6922502517700195}",0,0,ara woah woah woahchallenge foryou fyp meme tiktok,False,False,0,0,none,False,0,[],0,0.0,0.5662798285484314,0.0017946588341146708,0.008624173700809479,0.041275858879089355,0.0024240873754024506,neutral,0.8766113519668579
1,1300000,182,False,518,154100,2021-05-05T00:56:03.000Z,15400000,79600000,205400,#fyp #meme #funny #meme #vine,11,"{'label': 'positive', 'score': 0.6827881336212158}",0,0,fyp meme funny meme vine,False,False,0,0,none,False,0,[],0,0.0,0.07147490978240967,0.00016527017578482628,0.00047228479525074363,0.0019270380726084113,0.0004176142392680049,amusement,0.9988570213317871
2,696800,42,False,90,55300,2022-04-07T14:05:06.000Z,13900000,106100000,323000,The end #funny #funnyvideos #animals #haha #meme #dog #cat #fypage #viral #pets,25,"{'label': 'positive', 'score': 0.848612368106842}",0,0,the end funny funnyvideos animals haha meme dog cat fypage viral pets,False,False,0,0,none,True,1,['animals'],1,0.25,0.1024317517876625,0.00018950986850541085,0.0006811578059569001,0.003373156301677227,0.00039069101330824196,amusement,0.9998146891593933
3,510200,56,False,84,70600,2022-05-11T13:15:07.000Z,13100000,72500000,133400,Try not to laugh  hard #meme #trynottolaughtiktoktv,62,"{'label': 'neutral', 'score': 0.6060034036636353}",0,0,try not to laugh hard meme trynottolaughtiktoktv,False,False,0,0,none,False,0,[],0,0.0,0.10950718820095062,0.00021907703194301575,0.0008206918719224632,0.0022098696790635586,0.0011190141085535288,neutral,0.9947090148925781
4,3300000,690,True,247,35500,2020-04-14T02:04:47.000Z,13100000,62700000,252900,HE DIDN’T HAVE HIS MASK ON  @abbysherm (Follow my insta: JakeyPooV) #fyp #vent #meme #joke,36,"{'label': 'neutral', 'score': 0.7201117873191833}",0,0,he didn t have his mask on follow my insta jakeypoov fyp vent meme joke,False,False,0,0,none,False,0,[],0,0.0,0.11327801644802094,0.0002816951891873032,0.0006705559208057821,0.004133664071559906,0.00043180331704206765,neutral,0.9934753775596619
5,646700,86,False,127,205200,2021-02-20T21:30:27.000Z,12800000,100800000,795700,DOGS ARE THE BEST . #fyp #foryou #veryfunny #dog #meme #clip,10,"{'label': 'positive', 'score': 0.9748666882514954}",0,0,dogs are the best . fyp foryou veryfunny dog meme clip,False,False,0,0,none,False,0,[],0,0.0,0.3067353069782257,0.000558685977011919,0.002511741826310754,0.034447576850652695,0.0005098789115436375,admiration,0.9998966455459595
6,8000000,69,True,147,59900,2019-10-04T22:51:14.000Z,12500000,133200000,707400,The last guy tho  #lol #funny #foryou #foryoupage #fail #meme #relatable #crazy #wow #haha,18,"{'label': 'positive', 'score': 0.8946304321289062}",0,0,the last guy tho lol funny foryou foryoupage fail meme relatable crazy wow haha,False,False,0,0,none,False,0,[],0,0.0,0.2739625573158264,0.00024238739570137113,0.0006964549538679421,0.012587597593665123,0.0004587027651723474,amusement,0.9998053908348083
7,227000,208,False,3173,113200,2021-12-24T21:05:34.000Z,12100000,69400000,337900,It’s funny how each of them are so different #spiderman #tobeymaguire #andrewgarfield #tomholland #meme #mcu #marveltok #fyp #viral #nowayhome,16,"{'label': 'neutral', 'score': 0.5952433943748474}",0,1,it s funny how each of them are so different spiderman tobeymaguire andrewgarfield tomholland meme mcu marveltok fyp viral nowayhome,False,True,0,1,them_only,False,0,[],0,0.0,0.009246491827070713,0.00010062232468044385,0.0002429581800242886,0.000533413898665458,0.00016636397049296647,amusement,0.9996116757392883
8,5800000,2775,True,670,100900,2019-03-01T04:48:20.000Z,11600000,149500000,1200000,Teaching Granny Meme Songs  #foryou #comedy #dametucosita #fox #gmoney #music #meme #lol,13,"{'label': 'neutral', 'score': 0.6081758141517639}",1,0,teaching granny meme songs foryou comedy dametucosita fox gmoney music meme lol,False,False,0,0,none,False,0,[],0,0.0,0.028993990272283554,0.00010358666622778401,0.0003156796738039702,0.0015107839135453105,0.00019372582028154284,amusement,0.9996426105499268
9,8000000,69,True,147,54500,2020-04-28T19:05:20.000Z,11300000,83100000,196600,Our WHOLE class pranked our teacher Pt.12  (Come back in 24 hours for Part 13) #foryou #foryoupage #fyp #viral #funny #comedy #tiktok #trend #meme,19,"{'label': 'positive', 'score': 0.719185471534729}",2,0,our whole class pranked our teacher pt.12 come back in 24 hours for part 13 foryou foryoupage fyp viral funny comedy tiktok trend meme,True,False,2,0,we_only,False,0,[],0,0.0,0.03127490356564522,0.00011704796634148806,0.00027254645829088986,0.0011546507012099028,0.00022521783830597997,amusement,0.9996256828308105
