authorMeta/fans,authorMeta/following,authorMeta/verified,authorMeta/video,commentCount,createTimeISO,diggCount,playCount,shareCount,text,videoMeta/duration,clean_text,has_we,has_them,we_count,them_count,pronoun_type,has_othering,othering_score,matched_patterns,othering_predicted,othering_proba,toxicity,severe_toxicity,identity_attack,insult,threat,emotion,emotion_score
13200000,28,True,303,66000,2020-02-25T12:11:06.000Z,19300000,200600000,377700,Ara Woah  #woah  #woahchallenge  #foryou  #fyp  #meme  #이아라  #틱톡  #tiktok,17,ara woah woah woahchallenge foryou fyp meme tiktok,False,False,0,0,none,False,0,[],0,0.0,0.5662798285484314,0.0017946588341146,0.0086241737008094,0.0412758588790893,0.0024240873754024,neutral,0.8766113519668579
1300000,182,False,518,154100,2021-05-05T00:56:03.000Z,15400000,79600000,205400,#fyp #meme #funny #meme #vine,11,fyp meme funny meme vine,False,False,0,0,none,False,0,[],0,0.0,0.0714749097824096,0.0001652701757848,0.0004722847952507,0.0019270380726084,0.000417614239268,amusement,0.9988570213317872
696800,42,False,90,55300,2022-04-07T14:05:06.000Z,13900000,106100000,323000,The end #funny #funnyvideos #animals #haha #meme #dog #cat #fypage #viral #pets,25,the end funny funnyvideos animals haha meme dog cat fypage viral pets,False,False,0,0,none,True,1,['animals'],1,0.25,0.1024317517876625,0.0001895098685054,0.0006811578059569,0.0033731563016772,0.0003906910133082,amusement,0.9998146891593932
510200,56,False,84,70600,2022-05-11T13:15:07.000Z,13100000,72500000,133400,Try not to laugh  hard #meme #trynottolaughtiktoktv,62,try not to laugh hard meme trynottolaughtiktoktv,False,False,0,0,none,False,0,[],0,0.0,0.1095071882009506,0.000219077031943,0.0008206918719224,0.0022098696790635,0.0011190141085535,neutral,0.994709014892578
3300000,690,True,247,35500,2020-04-14T02:04:47.000Z,13100000,62700000,252900,HE DIDN’T HAVE HIS MASK ON  @abbysherm (Follow my insta: JakeyPooV) #fyp #vent #meme #joke,36,he didn t have his mask on follow my insta jakeypoov fyp vent meme joke,False,False,0,0,none,False,0,[],0,0.0,0.1132780164480209,0.0002816951891873,0.0006705559208057,0.0041336640715599,0.000431803317042,neutral,0.993475377559662
646700,86,False,127,205200,2021-02-20T21:30:27.000Z,12800000,100800000,795700,DOGS ARE THE BEST . #fyp #foryou #veryfunny #dog #meme #clip,10,dogs are the best . fyp foryou veryfunny dog meme clip,False,False,0,0,none,False,0,[],0,0.0,0.3067353069782257,0.0005586859770119,0.0025117418263107,0.0344475768506526,0.0005098789115436,admiration,0.9998966455459596
8000000,69,True,147,59900,2019-10-04T22:51:14.000Z,12500000,133200000,707400,The last guy tho  #lol #funny #foryou #foryoupage #fail #meme #relatable #crazy #wow #haha,18,the last guy tho lol funny foryou foryoupage fail meme relatable crazy wow haha,False,False,0,0,none,False,0,[],0,0.0,0.2739625573158264,0.0002423873957013,0.0006964549538679,0.0125875975936651,0.0004587027651723,amusement,0.9998053908348083
227000,208,False,3173,113200,2021-12-24T21:05:34.000Z,12100000,69400000,337900,It’s funny how each of them are so different #spiderman #tobeymaguire #andrewgarfield #tomholland #meme #mcu #marveltok #fyp #viral #nowayhome,16,it s funny how each of them are so different spiderman tobeymaguire andrewgarfield tomholland meme mcu marveltok fyp viral nowayhome,False,True,0,1,them_only,False,0,[],0,0.0,0.0092464918270707,0.0001006223246804,0.0002429581800242,0.0005334138986654,0.0001663639704929,amusement,0.9996116757392884
5800000,2775,True,670,100900,2019-03-01T04:48:20.000Z,11600000,149500000,1200000,Teaching Granny Meme Songs  #foryou #comedy #dametucosita #fox #gmoney #music #meme #lol,13,teaching granny meme songs foryou comedy dametucosita fox gmoney music meme lol,False,False,0,0,none,False,0,[],0,0.0,0.0289939902722835,0.0001035866662277,0.0003156796738039,0.0015107839135453,0.0001937258202815,amusement,0.9996426105499268
8000000,69,True,147,54500,2020-04-28T19:05:20.000Z,11300000,83100000,196600,Our WHOLE class pranked our teacher Pt.12  (Come back in 24 hours for Part 13) #foryou #foryoupage #fyp #viral #funny #comedy #tiktok #trend #meme,19,our whole class pranked our teacher pt.12 come back in 24 hours for part 13 foryou foryoupage fyp viral funny comedy tiktok trend meme,True,False,2,0,we_only,False,0,[],0,0.0,0.0312749035656452,0.0001170479663414,0.0002725464582908,0.0011546507012099,0.0002252178383059,amusement,0.9996256828308104
6900000,561,True,1700,46900,2021-04-17T11:17:40.000Z,9500000,109300000,10300,Reply to @_pelin_9 Making Cotton Candy What should I try? Ib: @mooyahyah ✨ #candy #foryou #meme #foryoupage #viral #fyp #asmr,18,reply to making cotton candy what should i try? ib candy foryou meme foryoupage viral fyp asmr,False,False,0,0,none,False,0,[],0,0.0,0.1262187212705612,0.0002617549907881,0.0005626286729238,0.0035165911540389,0.0003715644415933,confusion,0.948602020740509
2200000,150,False,68,66200,2021-07-30T22:05:54.000Z,9500000,35800000,109800,jimmy fallon is sooo suspicious like what’s wrong jimmathan #viral #comedy #meme #xyzcba,14,jimmy fallon is sooo suspicious like what s wrong jimmathan viral comedy meme xyzcba,False,False,0,0,none,False,0,[],0,0.0,0.0167872440069913,0.0001030169150908,0.0002249890530947,0.0007044217200018,0.0001741236046655,confusion,0.4886724650859833
150200,52,False,5,102300,2022-02-16T16:08:40.000Z,9300000,54000000,505600,#pourtoi#drole#meme,9,pourtoi drole meme,False,False,0,0,none,False,0,[],0,0.0,0.1476222425699234,0.0003688573196996,0.0015421616844832,0.00418008165434,0.000642336148303,neutral,0.9999901056289672
10600000,23,True,820,56600,2020-03-30T10:27:15.000Z,9200000,65000000,522800,His no-no square #memes #comedy #funny #funnymoments #humour #vr #virtualreality #vrgame #gaming #meme,10,his no-no square memes comedy funny funnymoments humour vr virtualreality vrgame gaming meme,False,False,0,0,none,False,0,[],0,0.0,0.0016655584331601,9.335703362012282e-05,0.0001402759953634,0.0002127617335645,0.0001176946389023,amusement,0.9993482232093812
5000000,0,False,255,40700,2022-02-06T04:51:01.000Z,9100000,67800000,45900,"I was about to eat in a restaurant, but I'm banned tf? #fyp #meme #itsstefano",8,"i was about to eat in a restaurant, but i'm banned tf? fyp meme itsstefano",False,False,0,0,none,False,0,[],0,0.0,0.0267307553440332,0.000125014281366,0.0003338336828164,0.0008841693634167,0.0001989164738915,disapproval,0.5628470778465271
3200000,617,False,109,467000,2020-06-17T20:27:34.000Z,37200000,299500000,2800000,Repost  #catsoftiktok #viral #funny #cute #cutness #foryoupage,13,repost catsoftiktok viral funny cute cutness foryoupage,False,False,0,0,none,False,0,[],0,0.0,0.0142668187618255,0.0001017254398902,0.0002280844055349,0.0006527436780743,0.0001711398654151,admiration,0.762296199798584
5100000,37,False,136,233600,2021-01-09T15:38:27.000Z,20000000,227100000,1300000,Wee #foryou #foryoupage #tiktok #wee #funny #dog #animals #4u #xyzbca #fypage #fail #fyp #viral,7,wee foryou foryoupage tiktok wee funny dog animals 4u xyzbca fypage fail fyp viral,False,False,0,0,none,True,1,['animals'],1,0.25,0.5525820851325989,0.0007420983165502,0.0028802575543522,0.0343052335083484,0.0011346579995006,neutral,0.9962419271469116
